NNNNNNNNN         ZZZZZZZZZ         YYYYYYYYYYY         XXXXXXXXXXXXX         Bzsmoothed
481            13.0000000              .0000000             3.0000000              .1048549
482            13.0000000              .0000000             4.0000000              .1048570
483            13.0000000              .0000000             5.0000000              .1048649
484            13.0000000              .0000000             6.0000000              .1048729
485            13.0000000              .0000000             7.0000000              .1048837
486            13.0000000              .0000000             8.0000000              .1048945
487            13.0000000              .0000000             9.0000000              .1049065
488            13.0000000              .0000000            10.0000000              .1049179
489            13.0000000              .0000000            11.0000000              .1049297
490            13.0000000              .0000000            12.0000000              .1049401
491            13.0000000              .0000000            13.0000000              .1049508
492            13.0000000              .0000000            14.0000000              .1049598
493            13.0000000              .0000000            15.0000000              .1049689
494            13.0000000              .0000000            16.0000000              .1049763
495            13.0000000              .0000000            17.0000000              .1049837
496            13.0000000              .0000000            18.0000000              .1049896
497            13.0000000              .0000000            19.0000000              .1049954
498            13.0000000              .0000000            20.0000000              .1050001
499            13.0000000              .0000000            21.0000000              .1050045
500            13.0000000              .0000000            22.0000000              .1050082
501            13.0000000              .0000000            23.0000000              .1050115
502            13.0000000              .0000000            24.0000000              .1050143
503            13.0000000              .0000000            25.0000000              .1050168
504            13.0000000              .0000000            26.0000000              .1050189
505            13.0000000              .0000000            27.0000000              .1050207
506            13.0000000              .0000000            28.0000000              .1050223
507            13.0000000              .0000000            29.0000000              .1050236
508            13.0000000              .0000000            30.0000000              .1050248
509            13.0000000              .0000000            31.0000000              .1050257
510            13.0000000              .0000000            32.0000000              .1050266
511            13.0000000              .0000000            33.0000000              .1050273
512            13.0000000              .0000000            34.0000000              .1050279
513            13.0000000              .0000000            35.0000000              .1050284
514            13.0000000              .0000000            36.0000000              .1050288
515            13.0000000              .0000000            37.0000000              .1050291
516            13.0000000              .0000000            38.0000000              .1050295
517            13.0000000              .0000000            39.0000000              .1050297
518            13.0000000              .0000000            40.0000000              .1050299
519            13.0000000              .0000000            41.0000000              .1050300
520            13.0000000              .0000000            42.0000000              .1050301
521            13.0000000              .0000000            43.0000000              .1050302
522            13.0000000              .0000000            44.0000000              .1050303
523            13.0000000              .0000000            45.0000000              .1050303
524            13.0000000              .0000000            46.0000000              .1050303
525            13.0000000              .0000000            47.0000000              .1050303
526            13.0000000              .0000000            48.0000000              .1050302
527            13.0000000              .0000000            49.0000000              .1050302
528            13.0000000              .0000000            50.0000000              .1050300
529            13.0000000              .0000000            51.0000000              .1050299
530            13.0000000              .0000000            52.0000000              .1050297
531            13.0000000              .0000000            53.0000000              .1050295
532            13.0000000              .0000000            54.0000000              .1050292
533            13.0000000              .0000000            55.0000000              .1050289
534            13.0000000              .0000000            56.0000000              .1050286
535            13.0000000              .0000000            57.0000000              .1050281
536            13.0000000              .0000000            58.0000000              .1050277
537            13.0000000              .0000000            59.0000000              .1050270
538            13.0000000              .0000000            60.0000000              .1050264
539            13.0000000              .0000000            61.0000000              .1050255
540            13.0000000              .0000000            62.0000000              .1050246
541            13.0000000              .0000000            63.0000000              .1050233
542            13.0000000              .0000000            64.0000000              .1050221
543            13.0000000              .0000000            65.0000000              .1050204
544            13.0000000              .0000000            66.0000000              .1050187
545            13.0000000              .0000000            67.0000000              .1050165
546            13.0000000              .0000000            68.0000000              .1050141
547            13.0000000              .0000000            69.0000000              .1050113
548            13.0000000              .0000000            70.0000000              .1050081
549            13.0000000              .0000000            71.0000000              .1050044
550            13.0000000              .0000000            72.0000000              .1050001
551            13.0000000              .0000000            73.0000000              .1049954
552            13.0000000              .0000000            74.0000000              .1049898
553            13.0000000              .0000000            75.0000000              .1049839
554            13.0000000              .0000000            76.0000000              .1049768
555            13.0000000              .0000000            77.0000000              .1049693
556            13.0000000              .0000000            78.0000000              .1049606
557            13.0000000              .0000000            79.0000000              .1049515
558            13.0000000              .0000000            80.0000000              .1049412
559            13.0000000              .0000000            81.0000000              .1049308
